time,pid,cores,cpu_one_core_pct,cpu_total_pct,proc_delta,total_delta
1783999779,9818,8,0.00,0.00,0,834
1783999780,9818,8,0.00,0.00,0,875
1783999781,9818,8,0.00,0.00,0,865
1783999782,9818,8,0.00,0.00,0,869
1783999783,9818,8,0.00,0.00,0,873
1783999784,9818,8,0.00,0.00,0,867
1783999785,9818,8,0.00,0.00,0,863
1783999786,9818,8,0.00,0.00,0,862
1783999787,9818,8,0.00,0.00,0,871
1783999788,9818,8,0.00,0.00,0,869
1783999790,9818,8,0.00,0.00,0,869
1783999791,9818,8,0.00,0.00,0,864
1783999792,9818,8,0.00,0.00,0,871
1783999793,9818,8,0.00,0.00,0,876
1783999794,9818,8,0.00,0.00,0,866
1783999795,9818,8,0.00,0.00,0,862
1783999796,9818,8,0.00,0.00,0,873
1783999797,9818,8,0.00,0.00,0,866
1783999798,9818,8,0.00,0.00,0,864
1783999800,9818,8,0.00,0.00,0,874
1783999801,9818,8,0.00,0.00,0,872
1783999802,9818,8,0.00,0.00,0,884
1783999803,9818,8,0.00,0.00,0,880
1783999804,9818,8,0.00,0.00,0,868
1783999805,9818,8,0.00,0.00,0,876
1783999806,9818,8,0.00,0.00,0,867
1783999807,9818,8,0.00,0.00,0,866
1783999808,9818,8,0.00,0.00,0,867
1783999809,9818,8,0.00,0.00,0,864
1783999811,9818,8,0.00,0.00,0,867
1783999812,9818,8,0.00,0.00,0,870
1783999813,9818,8,0.00,0.00,0,866
1783999814,9818,8,0.00,0.00,0,858
1783999815,9818,8,0.00,0.00,0,862
1783999816,9818,8,0.00,0.00,0,869
1783999817,9818,8,0.00,0.00,0,871
1783999818,9818,8,0.00,0.00,0,873
1783999819,9818,8,0.00,0.00,0,867
1783999820,9818,8,0.00,0.00,0,867
1783999822,9818,8,0.00,0.00,0,870
1783999823,9818,8,0.00,0.00,0,866
1783999824,9818,8,0.00,0.00,0,870
1783999825,9818,8,0.00,0.00,0,869
1783999826,9818,8,0.00,0.00,0,867
1783999827,9818,8,0.00,0.00,0,875
1783999828,9818,8,0.00,0.00,0,863
1783999829,9818,8,0.00,0.00,0,859
1783999830,9818,8,0.00,0.00,0,867
1783999831,9818,8,0.00,0.00,0,870
1783999833,9818,8,0.00,0.00,0,867
1783999834,9818,8,0.00,0.00,0,867
1783999835,9818,8,0.00,0.00,0,876
1783999836,9818,8,0.00,0.00,0,863
1783999837,9818,8,0.00,0.00,0,876
1783999838,9818,8,0.00,0.00,0,872
1783999839,9818,8,0.00,0.00,0,866
1783999840,9818,8,0.00,0.00,0,867
1783999841,9818,8,0.00,0.00,0,864
1783999842,9818,8,0.00,0.00,0,860
1783999844,9818,8,0.00,0.00,0,868
