time,pid,cores,cpu_one_core_pct,cpu_total_pct,proc_delta,total_delta
1783931504,18164,8,0.00,0.00,0,847
1783931505,18164,8,0.00,0.00,0,872
1783931506,18164,8,0.00,0.00,0,868
1783931507,18164,8,0.00,0.00,0,877
1783931509,18164,8,0.00,0.00,0,871
1783931510,18164,8,0.00,0.00,0,872
1783931511,18164,8,0.00,0.00,0,874
1783931512,18164,8,0.00,0.00,0,866
1783931513,18164,8,0.00,0.00,0,876
1783931514,18164,8,0.00,0.00,0,859
1783931515,18164,8,0.00,0.00,0,864
1783931516,18164,8,0.00,0.00,0,881
1783931517,18164,8,0.00,0.00,0,870
1783931518,18164,8,0.00,0.00,0,875
1783931520,18164,8,0.00,0.00,0,880
1783931521,18164,8,0.00,0.00,0,859
1783931522,18164,8,0.00,0.00,0,873
1783931523,18164,8,0.00,0.00,0,864
1783931524,18164,8,0.00,0.00,0,855
1783931525,18164,8,0.00,0.00,0,882
1783931526,18164,8,0.00,0.00,0,867
1783931527,18164,8,0.00,0.00,0,874
1783931528,18164,8,0.00,0.00,0,868
1783931529,18164,8,0.00,0.00,0,871
1783931531,18164,8,0.00,0.00,0,866
1783931532,18164,8,0.00,0.00,0,869
1783931533,18164,8,0.00,0.00,0,870
1783931534,18164,8,0.00,0.00,0,875
1783931535,18164,8,0.00,0.00,0,867
1783931536,18164,8,0.00,0.00,0,873
1783931537,18164,8,0.00,0.00,0,869
1783931538,18164,8,0.00,0.00,0,872
1783931539,18164,8,0.00,0.00,0,861
1783931540,18164,8,0.00,0.00,0,858
1783931542,18164,8,0.00,0.00,0,862
1783931543,18164,8,0.00,0.00,0,862
1783931544,18164,8,0.00,0.00,0,874
1783931545,18164,8,0.00,0.00,0,871
1783931546,18164,8,0.00,0.00,0,868
1783931547,18164,8,0.00,0.00,0,868
1783931548,18164,8,0.00,0.00,0,874
1783931549,18164,8,0.00,0.00,0,887
1783931550,18164,8,0.00,0.00,0,877
1783931552,18164,8,0.00,0.00,0,870
1783931553,18164,8,0.00,0.00,0,872
1783931554,18164,8,0.00,0.00,0,868
1783931555,18164,8,0.00,0.00,0,866
1783931556,18164,8,0.00,0.00,0,875
1783931557,18164,8,0.00,0.00,0,870
1783931558,18164,8,0.00,0.00,0,876
1783931559,18164,8,0.00,0.00,0,868
1783931560,18164,8,0.00,0.00,0,873
1783931561,18164,8,0.00,0.00,0,863
1783931563,18164,8,0.00,0.00,0,868
1783931564,18164,8,0.00,0.00,0,864
1783931565,18164,8,0.00,0.00,0,875
1783931566,18164,8,0.00,0.00,0,868
1783931567,18164,8,0.00,0.00,0,873
1783931568,18164,8,0.00,0.00,0,870
1783931569,18164,8,0.00,0.00,0,876
